ITEM_CODE','START_DATE','END_DATE',AMOUNT',STATE'
'21027',1/1/2022,12/31/2099,34.92,PA
'21031',5/14/2022,12/31/2099,23.89,PA
'21033',5/11/2022,12/31/2099,70.23,PA
'21049',5/21/2022,12/31/2099,6.89,PA
'21050',1/1/2022,12/31/2099,63.53,PA
'21051',5/14/2022,12/31/2099,23.51,PA
'21066',1/1/2022,12/31/2099,67.12,PA
'21076',5/21/2022,12/31/2099,6.89,PA
'21081',4/9/2022,12/31/2099,24.32,PA
'21106',2/5/2022,12/31/2099,5.69,PA
'21107',4/9/2022,12/31/2099,24.32,PA
'21108',3/5/2022,12/31/2099,5.69,PA
'21110',5/28/2022,12/31/2099,5.55,PA
'21110',7/31/2021,5/27/2022,5.45,PA
'21134',8/1/2020,12/31/2099,172.15,PA
'21161',7/24/2021,5/27/2022,7.35,PA
'21161',5/28/2022,12/31/2099,7.49,PA
'21162',5/28/2022,12/31/2099,7.49,PA
'21162',7/24/2021,5/27/2022,7.35,PA
'21266',11/13/2021,12/31/2099,14.15,PA
'21272',11/13/2021,12/31/2099,14.15,PA
'21289',4/9/2022,12/31/2099,16.5,PA
'21290',3/12/2022,12/31/2099,12.68,PA
'21296',4/9/2022,12/31/2099,22.65,PA
'21306',5/14/2022,12/31/2099,16.16,PA
'21308',5/14/2022,12/31/2099,16.16,PA
'21313',5/14/2022,12/31/2099,16.16,PA
'21323',5/14/2022,12/31/2099,16.16,PA
'21442',6/25/2020,12/31/2099,60.88,PA
'21523',1/15/2022,12/31/2099,19.8,PA
'21536',1/15/2022,12/31/2099,22.62,PA
'21546',1/15/2022,12/31/2099,19.8,PA
'21551',1/15/2022,12/31/2099,22.62,PA
'21565',1/15/2022,12/31/2099,22.62,PA
'21596',1/15/2022,12/31/2099,22.24,PA
'21607',5/14/2022,12/31/2099,19.96,PA
'21608',5/14/2022,12/31/2099,19.96,PA
'21619',5/1/2022,12/31/2099,25,PA
'21641',5/14/2022,12/31/2099,34.64,PA
'21643',5/14/2022,12/31/2099,34.64,PA
'21684',1/10/2020,12/31/2099,15.48,PA
'21686',2/19/2022,12/31/2099,23.1,PA
'21703',1/10/2020,12/31/2099,15.48,PA
'21709',1/10/2020,12/31/2099,15.48,PA
'40018',10/16/2021,12/31/2099,22.16,PA
'40042',1/10/2020,12/31/2099,430.45,PA
'40046',2/13/2020,12/31/2099,331.13,PA
'40047',1/10/2020,12/31/2099,63.16,PA
'40048',1/10/2020,12/31/2099,61.28,PA
'40054',7/2/2020,12/31/2099,82.07,PA
'40072',2/17/2021,12/31/2099,44.49,PA
'40080',3/19/2022,5/27/2022,7.57,PA
'40080',5/28/2022,12/31/2099,10.96,PA
'40082',3/19/2022,12/31/2099,7.34,PA
'40085',12/27/2021,12/31/2099,730.61,PA
'40086',4/30/2022,12/31/2099,105.16,PA
'40087',3/26/2022,12/31/2099,38.88,PA
'40088',1/1/2022,12/31/2099,35.73,PA
'40099',3/26/2022,12/31/2099,38.88,PA
'40101',3/26/2022,12/31/2099,38.88,PA
'40107',7/2/2020,12/31/2099,82.07,PA
'40145',2/17/2021,12/31/2099,25.7,PA
'40146',6/11/2022,12/31/2099,39.04,PA
'40146',2/17/2021,6/10/2022,38.65,PA
'40147',5/28/2022,12/31/2099,21.25,PA
'40147',1/15/2022,5/27/2022,19.78,PA
'40148',5/28/2022,12/31/2099,24.99,PA
'40148',1/15/2022,5/27/2022,23.56,PA
'40151',8/1/2020,12/31/2099,14.39,PA
'40154',5/28/2022,12/31/2099,21.25,PA
'40154',1/15/2022,5/27/2022,19.78,PA
'40157',4/30/2022,12/31/2099,23.99,PA
'40160',8/1/2020,12/31/2099,112.4,PA
'40169',8/1/2020,12/31/2099,14.53,PA
'70000',5/1/2022,6/3/2022,43.21,PA
'70000',6/4/2022,12/31/2099,46.94,PA
'70001',5/12/2022,12/31/2099,25.78,PA
'70002',12/6/2021,6/3/2022,30.18,PA
'70002',6/4/2022,12/31/2099,36.97,PA
'70003',6/4/2022,12/31/2099,25.78,PA
'70003',5/12/2022,6/3/2022,25.78,PA
'70004',5/21/2022,12/31/2099,35.2,PA
'70005',12/13/2021,12/31/2099,24.36,PA
'70014',5/5/2022,12/31/2099,14.95,PA
'70015',6/4/2022,12/31/2099,14.4,PA
'70015',5/6/2022,6/3/2022,11.94,PA
'70016',5/17/2022,12/31/2099,14.38,PA
'70018',1/15/2022,6/3/2022,26.36,PA
'70018',6/4/2022,12/31/2099,28.85,PA
'70019',5/23/2022,12/31/2099,22.7,PA
'70020',5/5/2022,12/31/2099,17.78,PA
'70022',1/15/2022,12/31/2099,26.36,PA
'70023',1/15/2022,6/3/2022,26.36,PA
'70024',1/15/2022,6/3/2022,25.86,PA
'70024',6/4/2022,12/31/2099,29.59,PA
'70025',5/23/2022,12/31/2099,22.7,PA
'70031',5/23/2022,12/31/2099,17.78,PA
'70032',12/7/2021,12/31/2099,599.76,PA
'70033',5/1/2022,12/31/2099,19.31,PA
'70034',1/15/2022,12/31/2099,19.12,PA
'70035',5/1/2022,12/31/2099,19.31,PA
'70036',12/29/2021,12/31/2099,11.2,PA
'70037',1/15/2022,6/3/2022,26.36,PA
'70037',6/4/2022,12/31/2099,28.85,PA
'70038',1/15/2022,12/31/2099,26.36,PA
'70039',1/15/2022,6/3/2022,26.36,PA
'70039',6/4/2022,12/31/2099,28.85,PA
'70040',5/17/2022,12/31/2099,26.89,PA
'70041',1/15/2022,6/3/2022,26.36,PA
'70042',12/23/2021,6/3/2022,28.76,PA
'70042',6/4/2022,12/31/2099,31.77,PA
'70044',2/16/2022,6/3/2022,22.62,PA
